Genero,Etnia,Nivel educativo de los padres,Examen de preparacion,Matematicas,Lectura,Escritura,Cluster
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,62,67,62,4
Masculino,Grupo C,"Licenciatura, Ingenieria",No realizado,86,83,86,3
Masculino,Grupo C,Secundaria,No realizado,69,71,65,4
Masculino,Grupo A,Secundaria,No realizado,65,59,53,1
Masculino,Grupo C,Secundaria,No realizado,68,63,54,4
Masculino,Grupo C,Preparatoria,No realizado,64,66,59,4
Femenino,Grupo C,Secundaria,No realizado,61,72,70,4
Masculino,Grupo C,Secundaria,No realizado,61,56,55,1
Femenino,Grupo A,Secundaria,No realizado,47,59,50,1
Masculino,Grupo C,Secundaria,No realizado,73,66,66,4
Masculino,Grupo C,"Educacion Superior, no titulado",Completado,50,48,53,1
Masculino,Grupo D,Preparatoria,No realizado,75,68,64,4
Masculino,Grupo D,Preparatoria,No realizado,75,66,73,0
Masculino,Grupo C,Secundaria,No realizado,70,56,51,1
Masculino,Grupo D,Secundaria,Completado,89,88,82,3
Femenino,Grupo C,"Educacion Superior, no titulado",Completado,67,81,79,0
Femenino,Grupo D,Secundaria,No realizado,78,81,80,0
Femenino,Grupo A,Secundaria,No realizado,59,73,69,4
Femenino,Grupo B,Preparatoria,No realizado,73,83,76,0
Masculino,Grupo A,Secundaria,No realizado,79,82,73,0
Femenino,Grupo C,Secundaria,Completado,67,74,77,0
Masculino,Grupo D,"Educacion Superior, no titulado",No realizado,69,66,60,4
Masculino,Grupo C,Secundaria,Completado,86,81,80,3
Masculino,Grupo B,Secundaria,No realizado,47,46,42,2
Masculino,Grupo B,Preparatoria,No realizado,81,73,72,0
Femenino,Grupo C,"Educacion Superior, no titulado",Completado,64,85,85,0
Femenino,Grupo E,"Educacion Superior, no titulado",No realizado,100,92,97,3
Femenino,Grupo C,Preparatoria,No realizado,65,77,74,0
Masculino,Grupo C,"Educacion Superior, no titulado",No realizado,65,58,49,1
Femenino,Grupo C,Preparatoria,No realizado,53,61,62,1
Masculino,Grupo C,"Licenciatura, Ingenieria",No realizado,37,56,47,1
Femenino,Grupo D,"Licenciatura, Ingenieria",No realizado,79,89,89,3
Masculino,Grupo D,Preparatoria,No realizado,53,54,48,1
Femenino,Grupo E,"Licenciatura, Ingenieria",No realizado,100,100,100,3
Masculino,Grupo B,Secundaria,Completado,72,65,68,4
Masculino,Grupo C,"Licenciatura, Ingenieria",No realizado,53,58,55,1
Masculino,Grupo B,"Educacion Superior, no titulado",No realizado,54,54,45,1
Femenino,Grupo E,"Educacion Superior, no titulado",No realizado,71,70,76,0
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,77,90,91,3
Masculino,Grupo A,"Licenciatura, Ingenieria",Completado,75,58,62,4
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,84,87,91,3
Femenino,Grupo D,Preparatoria,No realizado,26,31,38,2
Masculino,Grupo A,Secundaria,Completado,72,67,65,4
Femenino,Grupo A,Secundaria,Completado,77,88,85,3
Masculino,Grupo C,"Educacion Superior, no titulado",No realizado,91,74,76,0
Femenino,Grupo C,Preparatoria,Completado,83,85,90,3
Femenino,Grupo C,Secundaria,No realizado,63,69,74,4
Femenino,Grupo C,Preparatoria,Completado,68,86,84,0
Femenino,Grupo D,Secundaria,No realizado,59,67,61,4
Femenino,Grupo B,Preparatoria,Completado,90,90,91,3
Femenino,Grupo D,"Licenciatura, Ingenieria",Completado,71,76,83,0
Masculino,Grupo E,"Licenciatura, Ingenieria",Completado,76,62,66,4
Masculino,Grupo D,Preparatoria,No realizado,80,68,72,0
Femenino,Grupo D,Maestria,No realizado,55,64,70,4
Masculino,Grupo E,Preparatoria,No realizado,76,71,67,0
Masculino,Grupo B,Secundaria,Completado,73,71,68,4
Femenino,Grupo D,Preparatoria,No realizado,52,59,56,1
Masculino,Grupo C,"Educacion Superior, no titulado",No realizado,68,68,61,4
Masculino,Grupo A,Secundaria,No realizado,59,52,46,1
Femenino,Grupo B,Preparatoria,No realizado,49,52,54,1
Masculino,Grupo C,Secundaria,No realizado,70,74,71,0
Masculino,Grupo D,"Educacion Superior, no titulado",No realizado,61,47,56,1
Femenino,Grupo C,Preparatoria,No realizado,60,75,74,4
Masculino,Grupo B,Secundaria,Completado,64,53,57,1
Masculino,Grupo A,Preparatoria,Completado,79,82,82,0
Femenino,Grupo A,Preparatoria,No realizado,65,85,76,0
Femenino,Grupo C,Preparatoria,No realizado,64,64,70,4
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,83,83,90,3
Femenino,Grupo C,"Licenciatura, Ingenieria",No realizado,81,88,90,3
Femenino,Grupo B,Secundaria,No realizado,54,64,68,4
Masculino,Grupo D,Secundaria,Completado,68,64,66,4
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,54,48,52,1
Femenino,Grupo D,"Educacion Superior, no titulado",Completado,59,78,76,0
Femenino,Grupo B,Secundaria,No realizado,66,69,68,4
Masculino,Grupo E,"Educacion Superior, no titulado",No realizado,76,71,72,0
Femenino,Grupo D,Maestria,No realizado,74,79,82,0
Femenino,Grupo B,Preparatoria,Completado,94,87,92,3
Masculino,Grupo C,"Educacion Superior, no titulado",No realizado,63,61,54,1
Femenino,Grupo E,Preparatoria,Completado,95,89,92,3
Femenino,Grupo D,Maestria,No realizado,40,59,54,1
Femenino,Grupo B,Secundaria,No realizado,82,82,80,0
Masculino,Grupo A,Secundaria,No realizado,68,70,66,4
Masculino,Grupo B,"Licenciatura, Ingenieria",No realizado,55,59,54,1
Masculino,Grupo C,Maestria,No realizado,79,78,77,0
Femenino,Grupo C,"Licenciatura, Ingenieria",No realizado,86,92,87,3
Masculino,Grupo D,"Educacion Superior, no titulado",No realizado,76,71,73,0
Masculino,Grupo A,Secundaria,No realizado,64,50,43,1
Masculino,Grupo D,Secundaria,No realizado,62,49,52,1
Femenino,Grupo B,Secundaria,Completado,54,61,62,1
Femenino,Grupo B,Maestria,Completado,77,97,94,3
Femenino,Grupo C,Secundaria,Completado,76,87,85,3
Femenino,Grupo D,"Educacion Superior, no titulado",No realizado,74,89,84,3
Femenino,Grupo E,"Educacion Superior, no titulado",Completado,66,74,73,0
Femenino,Grupo D,Secundaria,Completado,66,78,78,0
Femenino,Grupo B,Secundaria,Completado,67,78,79,0
Masculino,Grupo D,"Educacion Superior, no titulado",No realizado,71,49,52,1
Femenino,Grupo C,Preparatoria,No realizado,91,86,84,3
Masculino,Grupo D,"Licenciatura, Ingenieria",No realizado,69,58,57,4
Masculino,Grupo C,Maestria,No realizado,54,59,50,1
Masculino,Grupo C,Secundaria,Completado,53,52,49,1
Masculino,Grupo E,"Educacion Superior, no titulado",No realizado,68,60,59,4
Masculino,Grupo C,Secundaria,Completado,56,61,60,1
Femenino,Grupo C,Secundaria,No realizado,36,53,43,2
Femenino,Grupo D,"Licenciatura, Ingenieria",No realizado,29,41,47,2
Femenino,Grupo C,Preparatoria,No realizado,62,74,70,4
Femenino,Grupo C,Preparatoria,Completado,68,67,73,4
Femenino,Grupo C,Secundaria,No realizado,47,54,53,1
Masculino,Grupo E,Preparatoria,Completado,62,61,58,4
Femenino,Grupo E,Preparatoria,Completado,79,88,94,3
Masculino,Grupo B,Secundaria,Completado,73,69,68,4
Femenino,Grupo C,"Licenciatura, Ingenieria",Completado,66,83,83,0
Masculino,Grupo C,Preparatoria,Completado,51,60,58,1
Femenino,Grupo D,Secundaria,No realizado,51,66,62,4
Masculino,Grupo E,"Licenciatura, Ingenieria",Completado,85,66,71,0
Masculino,Grupo A,Preparatoria,Completado,97,92,86,3
Masculino,Grupo C,Secundaria,Completado,75,69,68,4
Masculino,Grupo D,Preparatoria,Completado,79,82,80,0
Femenino,Grupo C,Preparatoria,No realizado,81,77,79,0
Femenino,Grupo D,Preparatoria,No realizado,82,95,89,3
Femenino,Grupo D,Maestria,No realizado,64,63,66,4
Masculino,Grupo E,Secundaria,Completado,78,83,80,0
Femenino,Grupo A,Secundaria,Completado,92,100,97,3
Masculino,Grupo C,Secundaria,Completado,72,67,64,4
Femenino,Grupo C,Secundaria,No realizado,62,67,64,4
Masculino,Grupo C,Maestria,No realizado,79,72,69,0
Masculino,Grupo C,Secundaria,No realizado,79,76,65,0
Masculino,Grupo B,"Licenciatura, Ingenieria",Completado,87,90,88,3
Femenino,Grupo B,Preparatoria,No realizado,40,48,50,1
Masculino,Grupo D,"Educacion Superior, no titulado",No realizado,77,62,64,4
Masculino,Grupo E,Preparatoria,No realizado,53,45,40,1
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,32,39,33,2
Femenino,Grupo C,Preparatoria,Completado,55,72,79,4
Masculino,Grupo C,Maestria,No realizado,61,67,66,4
Femenino,Grupo B,Preparatoria,No realizado,53,70,70,4
Masculino,Grupo D,Secundaria,No realizado,73,66,62,4
Femenino,Grupo D,"Educacion Superior, no titulado",Completado,74,75,79,0
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,63,74,74,4
Masculino,Grupo C,"Licenciatura, Ingenieria",Completado,96,90,92,3
Femenino,Grupo D,"Educacion Superior, no titulado",Completado,63,80,80,0
Masculino,Grupo B,"Licenciatura, Ingenieria",No realizado,48,51,46,1
Masculino,Grupo B,Preparatoria,No realizado,48,43,45,2
Femenino,Grupo E,"Licenciatura, Ingenieria",Completado,92,100,100,3
Femenino,Grupo D,Maestria,Completado,61,71,78,4
Masculino,Grupo B,Secundaria,No realizado,63,48,47,1
Masculino,Grupo D,"Licenciatura, Ingenieria",No realizado,68,68,67,4
Masculino,Grupo B,"Educacion Superior, no titulado",Completado,71,75,70,0
Masculino,Grupo A,"Licenciatura, Ingenieria",No realizado,91,96,92,3
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,53,62,56,1
Femenino,Grupo C,Secundaria,Completado,50,66,64,4
Femenino,Grupo E,Secundaria,No realizado,74,81,71,0
Masculino,Grupo A,Preparatoria,Completado,40,55,53,1
Masculino,Grupo A,"Educacion Superior, no titulado",Completado,61,51,52,1
Femenino,Grupo B,Secundaria,No realizado,81,91,89,3
Femenino,Grupo B,"Educacion Superior, no titulado",Completado,48,56,58,1
Femenino,Grupo D,Maestria,No realizado,53,61,68,4
Femenino,Grupo D,Secundaria,No realizado,81,97,96,3
Femenino,Grupo E,Secundaria,No realizado,77,79,80,0
Femenino,Grupo D,"Licenciatura, Ingenieria",No realizado,63,73,78,0
Femenino,Grupo D,Preparatoria,Completado,73,75,80,0
Femenino,Grupo D,"Educacion Superior, no titulado",No realizado,69,77,77,0
Femenino,Grupo C,Preparatoria,No realizado,65,76,76,0
Femenino,Grupo A,Secundaria,No realizado,55,73,73,4
Femenino,Grupo C,"Licenciatura, Ingenieria",No realizado,44,63,62,1
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,54,64,65,4
Femenino,Grupo A,Secundaria,No realizado,48,66,65,4
Masculino,Grupo C,"Educacion Superior, no titulado",No realizado,58,57,54,1
Masculino,Grupo A,Secundaria,No realizado,71,62,50,4
Masculino,Grupo E,"Licenciatura, Ingenieria",No realizado,68,68,64,4
Femenino,Grupo E,Secundaria,No realizado,74,76,73,0
Femenino,Grupo C,"Licenciatura, Ingenieria",Completado,92,100,99,3
Femenino,Grupo C,"Licenciatura, Ingenieria",Completado,56,79,72,4
Masculino,Grupo B,Secundaria,No realizado,30,24,15,2
Masculino,Grupo A,Secundaria,No realizado,53,54,48,1
Femenino,Grupo D,Secundaria,No realizado,69,77,73,0
Femenino,Grupo D,Secundaria,No realizado,65,82,81,0
Femenino,Grupo D,Maestria,No realizado,54,60,63,1
Femenino,Grupo C,Secundaria,No realizado,29,29,30,2
Femenino,Grupo E,"Educacion Superior, no titulado",No realizado,76,78,80,0
Masculino,Grupo D,Secundaria,No realizado,60,57,51,1
Masculino,Grupo D,Maestria,Completado,84,89,90,3
Masculino,Grupo C,Secundaria,No realizado,75,72,62,4
Femenino,Grupo C,Preparatoria,No realizado,85,84,82,3
Femenino,Grupo C,Maestria,No realizado,40,58,54,1
Femenino,Grupo E,"Educacion Superior, no titulado",No realizado,61,64,62,4
Femenino,Grupo B,Preparatoria,No realizado,58,63,65,4
Masculino,Grupo D,"Educacion Superior, no titulado",Completado,69,60,63,4
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,58,59,66,4
Masculino,Grupo C,"Licenciatura, Ingenieria",Completado,94,90,91,3
Femenino,Grupo C,Preparatoria,No realizado,65,77,74,0
Femenino,Grupo A,Preparatoria,No realizado,82,93,93,3
Femenino,Grupo C,Secundaria,No realizado,60,68,72,4
Femenino,Grupo E,"Licenciatura, Ingenieria",No realizado,37,45,38,2
Masculino,Grupo D,"Licenciatura, Ingenieria",No realizado,88,78,83,3
Masculino,Grupo D,Maestria,No realizado,95,81,84,3
Masculino,Grupo C,Preparatoria,Completado,65,73,68,4
Femenino,Grupo C,Secundaria,No realizado,35,61,54,1
Masculino,Grupo B,"Licenciatura, Ingenieria",No realizado,62,63,56,4
Masculino,Grupo C,Secundaria,Completado,58,51,52,1
Masculino,Grupo A,"Educacion Superior, no titulado",Completado,100,96,86,3
Femenino,Grupo E,"Licenciatura, Ingenieria",No realizado,61,58,62,4
Masculino,Grupo D,"Educacion Superior, no titulado",Completado,100,97,99,3
Masculino,Grupo B,Preparatoria,Completado,69,70,63,4
Masculino,Grupo D,Preparatoria,No realizado,61,48,46,1
Masculino,Grupo D,"Educacion Superior, no titulado",No realizado,49,57,46,1
Femenino,Grupo C,Secundaria,Completado,44,51,55,1
Masculino,Grupo D,"Educacion Superior, no titulado",No realizado,67,64,70,4
Masculino,Grupo B,Secundaria,No realizado,79,60,65,4
Femenino,Grupo B,"Licenciatura, Ingenieria",Completado,66,74,81,0
Femenino,Grupo C,Secundaria,No realizado,75,88,85,3
Masculino,Grupo D,Secundaria,No realizado,84,84,80,3
Masculino,Grupo A,Secundaria,No realizado,71,74,64,4
Femenino,Grupo B,Secundaria,Completado,67,80,81,0
Femenino,Grupo D,Secundaria,Completado,80,92,88,3
Masculino,Grupo E,"Educacion Superior, no titulado",No realizado,86,76,74,0
Femenino,Grupo D,Preparatoria,No realizado,76,74,73,0
Masculino,Grupo D,Secundaria,No realizado,41,52,51,1
Femenino,Grupo D,Preparatoria,Completado,74,88,90,3
Femenino,Grupo B,Secundaria,No realizado,72,81,79,0
Femenino,Grupo E,Secundaria,Completado,74,79,80,0
Masculino,Grupo B,Secundaria,No realizado,70,65,60,4
Femenino,Grupo B,"Licenciatura, Ingenieria",Completado,65,81,81,0
Femenino,Grupo D,Preparatoria,No realizado,59,70,65,4
Femenino,Grupo E,Secundaria,No realizado,64,62,68,4
Femenino,Grupo B,Secundaria,No realizado,50,53,55,1
Femenino,Grupo D,"Educacion Superior, no titulado",Completado,69,79,81,0
Masculino,Grupo C,Secundaria,Completado,51,56,53,1
Femenino,Grupo A,Secundaria,Completado,68,80,76,0
Femenino,Grupo D,"Educacion Superior, no titulado",Completado,85,86,98,3
Femenino,Grupo A,Preparatoria,Completado,65,70,74,4
Femenino,Grupo B,Secundaria,No realizado,73,79,79,0
Femenino,Grupo B,"Educacion Superior, no titulado",No realizado,62,67,67,4
Masculino,Grupo C,Preparatoria,No realizado,77,67,64,4
Masculino,Grupo D,Secundaria,No realizado,69,66,61,4
Femenino,Grupo D,Preparatoria,No realizado,43,60,58,1
Masculino,Grupo D,Preparatoria,No realizado,90,87,85,3
Masculino,Grupo C,"Educacion Superior, no titulado",No realizado,74,77,73,0
Masculino,Grupo C,Secundaria,No realizado,73,66,63,4
Femenino,Grupo D,"Educacion Superior, no titulado",No realizado,55,71,69,4
Femenino,Grupo C,Secundaria,No realizado,65,69,67,4
Masculino,Grupo D,Preparatoria,No realizado,80,63,63,4
Femenino,Grupo C,Secundaria,Completado,50,60,60,1
Femenino,Grupo C,"Educacion Superior, no titulado",Completado,63,73,71,4
Femenino,Grupo B,"Licenciatura, Ingenieria",No realizado,77,85,87,3
Masculino,Grupo C,"Educacion Superior, no titulado",No realizado,73,74,61,4
Masculino,Grupo D,Preparatoria,Completado,81,72,77,0
Femenino,Grupo C,Secundaria,No realizado,66,76,68,4
Masculino,Grupo D,Preparatoria,No realizado,52,57,50,1
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,69,78,76,0
Femenino,Grupo C,Preparatoria,Completado,65,84,84,0
Femenino,Grupo D,Secundaria,Completado,69,77,78,0
Femenino,Grupo B,"Educacion Superior, no titulado",Completado,50,64,66,4
Femenino,Grupo E,"Educacion Superior, no titulado",Completado,73,78,76,0
Femenino,Grupo C,Secundaria,Completado,70,82,76,0
Masculino,Grupo D,Preparatoria,No realizado,81,75,78,0
Masculino,Grupo D,"Educacion Superior, no titulado",No realizado,63,61,60,4
Femenino,Grupo D,Secundaria,No realizado,67,72,74,0
Masculino,Grupo B,Secundaria,No realizado,60,68,60,4
Masculino,Grupo B,Secundaria,No realizado,62,55,54,1
Femenino,Grupo C,Secundaria,Completado,29,40,44,2
Masculino,Grupo B,"Educacion Superior, no titulado",Completado,62,66,68,4
Femenino,Grupo E,Maestria,Completado,94,99,100,3
Masculino,Grupo E,"Educacion Superior, no titulado",Completado,85,75,68,0
Masculino,Grupo D,Preparatoria,No realizado,77,78,73,0
Masculino,Grupo A,Secundaria,No realizado,53,58,44,1
Masculino,Grupo E,"Educacion Superior, no titulado",No realizado,93,90,83,3
Femenino,Grupo C,Preparatoria,No realizado,49,53,53,1
Femenino,Grupo E,Preparatoria,No realizado,73,76,78,0
Femenino,Grupo C,"Licenciatura, Ingenieria",Completado,66,74,81,0
Femenino,Grupo D,Preparatoria,No realizado,77,77,73,0
Femenino,Grupo C,Secundaria,No realizado,49,63,56,1
Femenino,Grupo D,"Educacion Superior, no titulado",No realizado,79,89,86,3
Femenino,Grupo C,Preparatoria,Completado,75,82,90,3
Femenino,Grupo A,"Licenciatura, Ingenieria",No realizado,59,72,70,4
Femenino,Grupo D,Preparatoria,Completado,57,78,79,0
Masculino,Grupo C,Secundaria,No realizado,66,66,59,4
Femenino,Grupo E,"Licenciatura, Ingenieria",Completado,79,81,82,0
Femenino,Grupo B,Secundaria,No realizado,57,67,72,4
Masculino,Grupo A,"Licenciatura, Ingenieria",Completado,87,84,87,3
Femenino,Grupo D,"Educacion Superior, no titulado",No realizado,63,64,67,4
Femenino,Grupo B,Secundaria,Completado,59,63,64,4
Masculino,Grupo A,"Licenciatura, Ingenieria",No realizado,62,72,65,4
Masculino,Grupo D,Secundaria,No realizado,46,34,36,2
Masculino,Grupo C,"Educacion Superior, no titulado",No realizado,66,59,52,1
Masculino,Grupo D,Secundaria,No realizado,89,87,79,3
Femenino,Grupo D,Preparatoria,Completado,42,61,58,1
Masculino,Grupo C,"Educacion Superior, no titulado",Completado,93,84,90,3
Femenino,Grupo E,Secundaria,Completado,80,85,85,3
Femenino,Grupo D,"Educacion Superior, no titulado",No realizado,98,100,99,3
Masculino,Grupo D,Maestria,No realizado,81,81,84,0
Femenino,Grupo B,Secundaria,Completado,60,70,74,4
Femenino,Grupo B,Preparatoria,Completado,76,94,87,3
Masculino,Grupo C,Preparatoria,Completado,73,78,72,0
Femenino,Grupo C,Preparatoria,Completado,96,96,99,3
Femenino,Grupo C,Secundaria,No realizado,76,76,74,0
Masculino,Grupo E,Preparatoria,Completado,91,73,80,0
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,62,72,70,4
Masculino,Grupo D,Secundaria,Completado,55,59,59,1
Femenino,Grupo B,Secundaria,Completado,74,90,88,3
Masculino,Grupo C,Secundaria,No realizado,50,48,42,1
Masculino,Grupo B,"Educacion Superior, no titulado",No realizado,47,43,41,2
Masculino,Grupo E,"Educacion Superior, no titulado",Completado,81,74,71,0
Femenino,Grupo E,Preparatoria,Completado,65,75,77,0
Masculino,Grupo E,Secundaria,Completado,68,51,57,1
Femenino,Grupo D,Secundaria,No realizado,73,92,84,3
Masculino,Grupo C,"Educacion Superior, no titulado",No realizado,53,39,37,2
Femenino,Grupo B,Preparatoria,Completado,68,77,80,0
Masculino,Grupo A,Secundaria,No realizado,55,46,43,1
Femenino,Grupo C,"Educacion Superior, no titulado",Completado,87,89,94,3
Masculino,Grupo D,Secundaria,No realizado,55,47,44,1
Femenino,Grupo E,"Educacion Superior, no titulado",No realizado,53,58,57,1
Masculino,Grupo C,Maestria,No realizado,67,57,59,4
Masculino,Grupo C,Preparatoria,No realizado,92,79,84,3
Femenino,Grupo B,"Educacion Superior, no titulado",Completado,53,66,73,4
Masculino,Grupo D,Preparatoria,No realizado,81,71,73,0
Masculino,Grupo C,Secundaria,No realizado,61,60,55,1
Masculino,Grupo D,"Licenciatura, Ingenieria",No realizado,80,73,72,0
Femenino,Grupo A,Preparatoria,No realizado,37,57,56,1
Femenino,Grupo C,Secundaria,No realizado,81,84,82,3
Femenino,Grupo C,Preparatoria,Completado,59,73,72,4
Masculino,Grupo B,"Educacion Superior, no titulado",No realizado,55,55,47,1
Masculino,Grupo D,Preparatoria,No realizado,72,79,74,0
Masculino,Grupo D,Secundaria,No realizado,69,75,71,0
Masculino,Grupo C,"Educacion Superior, no titulado",No realizado,69,64,68,4
Femenino,Grupo C,"Licenciatura, Ingenieria",No realizado,50,60,59,1
Masculino,Grupo B,"Educacion Superior, no titulado",Completado,87,84,86,3
Masculino,Grupo D,Secundaria,Completado,71,69,68,4
Masculino,Grupo E,"Educacion Superior, no titulado",No realizado,68,72,65,4
Masculino,Grupo C,Maestria,Completado,79,77,75,0
Femenino,Grupo C,Secundaria,Completado,77,90,85,3
Masculino,Grupo C,Preparatoria,No realizado,58,55,53,1
Femenino,Grupo E,Preparatoria,No realizado,84,95,92,3
Masculino,Grupo D,"Educacion Superior, no titulado",No realizado,55,58,52,1
Masculino,Grupo E,"Licenciatura, Ingenieria",Completado,70,68,72,4
Femenino,Grupo D,"Educacion Superior, no titulado",Completado,52,59,65,1
Masculino,Grupo B,"Educacion Superior, no titulado",Completado,69,77,77,0
Femenino,Grupo C,Secundaria,No realizado,53,72,64,4
Femenino,Grupo D,Secundaria,No realizado,48,58,54,1
Masculino,Grupo D,Secundaria,Completado,78,81,86,0
Femenino,Grupo B,Secundaria,No realizado,62,62,63,4
Masculino,Grupo D,"Educacion Superior, no titulado",No realizado,60,63,59,4
Femenino,Grupo B,Secundaria,No realizado,74,72,72,0
Femenino,Grupo C,Secundaria,Completado,58,75,77,4
Masculino,Grupo B,Secundaria,Completado,76,62,60,4
Femenino,Grupo D,Secundaria,No realizado,68,71,75,0
Masculino,Grupo A,"Educacion Superior, no titulado",No realizado,58,60,57,1
Masculino,Grupo B,Secundaria,No realizado,52,48,49,1
Masculino,Grupo D,"Licenciatura, Ingenieria",No realizado,75,73,74,0
Femenino,Grupo B,Secundaria,Completado,52,67,72,4
Femenino,Grupo C,"Licenciatura, Ingenieria",No realizado,62,78,79,0
Masculino,Grupo B,"Educacion Superior, no titulado",No realizado,66,65,60,4
Femenino,Grupo B,Secundaria,No realizado,49,58,55,1
Femenino,Grupo B,Secundaria,No realizado,66,72,70,4
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,35,44,43,2
Femenino,Grupo A,"Educacion Superior, no titulado",Completado,72,79,82,0
Masculino,Grupo E,Preparatoria,Completado,94,85,82,3
Femenino,Grupo D,Preparatoria,No realizado,46,56,57,1
Femenino,Grupo B,Maestria,No realizado,77,90,84,3
Femenino,Grupo B,Secundaria,Completado,76,85,82,0
Femenino,Grupo C,Preparatoria,Completado,52,59,62,1
Masculino,Grupo C,"Licenciatura, Ingenieria",Completado,91,81,79,3
Femenino,Grupo B,Secundaria,Completado,32,51,44,2
Femenino,Grupo E,Secundaria,No realizado,72,79,77,0
Femenino,Grupo B,"Educacion Superior, no titulado",No realizado,19,38,32,2
Masculino,Grupo C,Preparatoria,No realizado,68,65,61,4
Femenino,Grupo C,Maestria,No realizado,52,65,61,4
Femenino,Grupo B,Secundaria,No realizado,48,62,60,1
Femenino,Grupo D,"Educacion Superior, no titulado",No realizado,60,66,70,4
Masculino,Grupo D,Secundaria,No realizado,66,74,69,4
Masculino,Grupo E,Secundaria,Completado,89,84,77,3
Femenino,Grupo B,Secundaria,No realizado,42,52,51,1
Femenino,Grupo E,Preparatoria,Completado,57,68,73,4
Masculino,Grupo D,Secundaria,No realizado,70,70,70,4
Femenino,Grupo E,Preparatoria,No realizado,70,84,81,0
Masculino,Grupo E,"Educacion Superior, no titulado",No realizado,69,60,54,4
Femenino,Grupo C,Preparatoria,No realizado,52,55,57,1
Masculino,Grupo C,Secundaria,Completado,67,73,68,4
Masculino,Grupo C,Secundaria,Completado,76,80,73,0
Femenino,Grupo E,Preparatoria,No realizado,87,94,95,3
Femenino,Grupo B,"Educacion Superior, no titulado",No realizado,82,85,87,3
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,73,76,78,0
Masculino,Grupo A,"Educacion Superior, no titulado",No realizado,75,81,74,0
Femenino,Grupo D,"Educacion Superior, no titulado",No realizado,64,74,75,0
Femenino,Grupo E,Secundaria,No realizado,41,45,40,2
Masculino,Grupo C,Secundaria,No realizado,90,75,69,0
Masculino,Grupo B,"Licenciatura, Ingenieria",No realizado,59,54,51,1
Masculino,Grupo A,Secundaria,No realizado,51,31,36,2
Masculino,Grupo A,Secundaria,No realizado,45,47,49,1
Femenino,Grupo C,Maestria,Completado,54,64,67,4
Masculino,Grupo E,Secundaria,Completado,87,84,76,3
Femenino,Grupo C,Secundaria,No realizado,72,80,83,0
Masculino,Grupo B,Secundaria,Completado,94,86,87,3
Femenino,Grupo A,"Licenciatura, Ingenieria",No realizado,45,59,64,1
Masculino,Grupo D,"Licenciatura, Ingenieria",Completado,61,70,76,4
Femenino,Grupo B,Secundaria,No realizado,60,72,68,4
Femenino,Grupo C,Secundaria,No realizado,77,91,88,3
Femenino,Grupo A,Secundaria,Completado,85,90,92,3
Femenino,Grupo D,"Licenciatura, Ingenieria",No realizado,78,90,93,3
Masculino,Grupo E,"Educacion Superior, no titulado",Completado,49,52,51,1
Femenino,Grupo B,Secundaria,No realizado,71,87,82,0
Femenino,Grupo C,Secundaria,No realizado,48,58,52,1
Masculino,Grupo C,Secundaria,No realizado,62,67,58,4
Femenino,Grupo C,Preparatoria,Completado,56,68,70,4
Femenino,Grupo C,Secundaria,No realizado,65,69,76,4
Femenino,Grupo D,Secundaria,Completado,69,86,81,0
Masculino,Grupo B,Secundaria,No realizado,68,54,53,1
Femenino,Grupo A,"Educacion Superior, no titulado",No realizado,61,60,57,1
Femenino,Grupo C,"Licenciatura, Ingenieria",Completado,74,86,89,3
Masculino,Grupo A,"Licenciatura, Ingenieria",No realizado,64,60,58,4
Femenino,Grupo B,Secundaria,Completado,77,82,89,3
Masculino,Grupo B,"Educacion Superior, no titulado",No realizado,58,50,45,1
Femenino,Grupo C,Secundaria,Completado,60,64,74,4
Masculino,Grupo E,Secundaria,No realizado,73,64,57,4
Femenino,Grupo A,Secundaria,Completado,75,82,79,0
Masculino,Grupo B,Preparatoria,Completado,58,57,53,1
Femenino,Grupo C,Preparatoria,No realizado,66,77,73,0
Femenino,Grupo D,Secundaria,No realizado,39,52,46,1
Masculino,Grupo C,Secundaria,No realizado,64,58,51,1
Femenino,Grupo B,Secundaria,Completado,23,44,36,2
Masculino,Grupo B,"Educacion Superior, no titulado",Completado,74,77,76,0
Femenino,Grupo D,Secundaria,Completado,40,65,64,1
Masculino,Grupo E,Maestria,No realizado,90,85,84,3
Masculino,Grupo C,Maestria,Completado,91,85,85,3
Masculino,Grupo D,Secundaria,No realizado,64,54,50,1
Femenino,Grupo C,Secundaria,No realizado,59,72,68,4
Masculino,Grupo D,Preparatoria,No realizado,80,75,69,0
Masculino,Grupo C,Maestria,No realizado,71,67,67,4
Femenino,Grupo A,Secundaria,No realizado,61,68,63,4
